SMILES,reactants,products,label,is_duplicate,Source
COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCC1>>COC(=O)C(C1CCC(=O)C1)S(=O)(=O)c1ccccc1,COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCC1,COC(=O)C(C1CCC(=O)C1)S(=O)(=O)c1ccccc1,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
COC(=O)CS(=O)(=O)c1cccc2ccccc12.O=C1C=CCCC1>>COC(=O)C(C1CCCC(=O)C1)S(=O)(=O)c1cccc2ccccc12,COC(=O)CS(=O)(=O)c1cccc2ccccc12.O=C1C=CCCC1,COC(=O)C(C1CCCC(=O)C1)S(=O)(=O)c1cccc2ccccc12,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(=O)C(=O)/C=C/c1ccc(Br)cc1>>O=C1CC(c2ccc(Br)cc2)CC1=O,CC(=O)C(=O)/C=C/c1ccc(Br)cc1,O=C1CC(c2ccc(Br)cc2)CC1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=True|HasFusedRings=False|HasSpiroRings=False|NumReactants=1|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)OCC.CC(=O)CC(C)=O>>CCOC(=O)CCC(C(C)=O)C(C)=O,C=CC(=O)OCC.CC(=O)CC(C)=O,CCOC(=O)CCC(C(C)=O)C(C)=O,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(=O)OC.CC(=O)CC(C)=O>>COC(=O)CCC(C(C)=O)C(C)=O,C=CC(=O)OC.CC(=O)CC(C)=O,COC(=O)CCC(C(C)=O)C(C)=O,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC#N.O=CC1CCOCC1>>N#CCCC1(C=O)CCOCC1,C=CC#N.O=CC1CCOCC1,N#CCCC1(C=O)CCOCC1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=CC(C)=O.CCCCC1CCc2cc(OC)ccc2C1=O>>CCCCC1(CCC(C)=O)CCc2cc(OC)ccc2C1=O,C=CC(C)=O.CCCCC1CCc2cc(OC)ccc2C1=O,CCCCC1(CCC(C)=O)CCc2cc(OC)ccc2C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)/C(=C\c1ccc(C#N)cc1)C(C)=O.CCOC(=O)CC(=O)Nc1cncc(C(F)(F)F)c1>>CCOC(=O)C(C(C)=O)C(c1ccc(C#N)cc1)C(C(=O)Nc1cncc(C(F)(F)F)c1)C(=O)OCC,CCOC(=O)/C(=C\c1ccc(C#N)cc1)C(C)=O.CCOC(=O)CC(=O)Nc1cncc(C(F)(F)F)c1,CCOC(=O)C(C(C)=O)C(c1ccc(C#N)cc1)C(C(=O)Nc1cncc(C(F)(F)F)c1)C(=O)OCC,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
C=C(C)C#N.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(CC(C)C#N)C(=O)OCC,C=C(C)C#N.CCOC(=O)CC(=O)OCC,CCOC(=O)C(CC(C)C#N)C(=O)OCC,HasRing=False|NumRings=0|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(=O)CCOCc1ccccc1.O=S(=O)(C1=CCOc2c(F)ccc(F)c21)c1ccc(Cl)cc1>>O=C(CCOCc1ccccc1)C[C@@H]1COc2c(F)ccc(F)c2[C@H]1S(=O)(=O)c1ccc(Cl)cc1,CC(=O)CCOCc1ccccc1.O=S(=O)(C1=CCOc2c(F)ccc(F)c21)c1ccc(Cl)cc1,O=C(CCOCc1ccccc1)C[C@@H]1COc2c(F)ccc(F)c2[C@H]1S(=O)(=O)c1ccc(Cl)cc1,HasRing=True|NumRings=4|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
